character,animation,frames,min_width_ratio,max_width_ratio,min_height_ratio,max_height_ratio,scale_min,scale_max,score
frieza,kickright,7,0.8354151537158073,2.1643004115226336,0.7999261227798357,1.337039165187412,0.75,1.35,1.335619412100992
frieza,knockdown,4,0.8547759081345969,1.5100956429330499,0.7708594757957619,1.5078630635725776,0.75,1.325,1.1014204493324073
frieza,sprint,10,0.48834177480744445,2.62974645607936,0.45068220658480057,1.03516945012361,0.75,1.35,1.8271656670628154
frieza,walkForward,4,0.9624573188421969,1.1268718337833918,0.936632600736969,1.0082640685929616,0.94444,1.01667,0.17560549953306615
fuusuke,backflip,8,0.851402003290978,1.3853014115157527,0.7367105356425584,1.2144224180705523,0.75,1.23611,0.7375253112668932
fuusuke,chargeKi,5,0.933943350227754,1.2337364470391994,0.9290489385152606,1.0707347472728959,0.86775,1.0,0.27731792970825897
fuusuke,cmd:1+2,7,0.9727904187627011,1.1309924376186828,0.8098332775014816,1.0714355657484473,0.75585,1.0,0.3908371850697281
fuusuke,cmd:2+3,6,0.9025251620225188,1.122173939013828,0.9114744298013846,1.0855097759771977,0.82143,0.97826,0.24024493360691213
fuusuke,cmd:3+4,6,0.7215951425758023,2.004704314820929,0.6997360435258838,1.259826542888438,0.75,1.35,1.2030865453666737
fuusuke,crouchBlock,8,0.5698398394790276,1.718564442682238,0.834788388738925,1.3928973841427332,0.75,1.35,1.124036049752076
fuusuke,getupStand,9,0.5862758127686994,1.5747022281289957,0.7265943146979559,1.6791704464941963,0.75,1.22,1.2589917833715938
fuusuke,idle,4,0.9873430751141181,1.0373531705656225,0.9999855697079308,1.0769278870204333,1.0,1.07692,0.13779978935980683
fuusuke,jableft,4,0.9787059489755915,1.4477123233965936,0.9826253751511992,1.0805822245390637,0.93394,1.02703,0.39575461857701993
fuusuke,jabright,8,0.8188963326196559,1.3581393742661785,0.9085820441868042,1.1036682925880354,0.89869,1.09167,0.4150419171477425
fuusuke,juggle,2,0.9587943045626456,1.041205695437354,0.7043328389019714,1.2956671610980286,0.86168,1.11568,0.44739057836044127
fuusuke,jump,6,0.8951725956667176,1.1203450525351508,0.8999189238203951,1.0772303950330175,0.81159,0.97149,0.2522381077006954
fuusuke,kickright,9,0.7770351143806232,1.3674973438949931,0.9391896499654154,1.1475055286564635,0.9275,1.13318,0.4708439349934594
fuusuke,knockdown,4,0.9999773463516299,1.574690337212141,0.8954525980782178,2.069404492318992,0.75,1.22,1.6492186946462764
fuusuke,sidestepLeft,2,0.9722240030326429,1.0277759969673572,0.9999875286618076,1.0000124713381924,1.35,1.35,0.016678069518606706
fuusuke,sidestepRight,2,0.9722240030326429,1.0277759969673572,0.9999875286618076,1.0000124713381924,1.35,1.35,0.016678069518606706
fuusuke,sprint,10,0.5933644946852024,1.574690337212141,0.5619128685289794,1.9623152518764995,0.75,1.22,1.542129454203784
fuusuke,walkForward,8,0.9331518190442164,1.1204339094974682,0.7839678592888516,1.0421947399252296,0.75,0.99703,0.41180748640962933
gintoki-sakata,backflip,8,0.7251748756039519,1.2340771160612283,0.9088577490731891,1.4073480379584506,0.75,1.16111,0.7777981125960796
gintoki-sakata,chargeKi,4,0.8830430434495679,1.0229812119581496,0.9702325067653393,1.1239957185724019,0.88718,1.02778,0.2644698925026611
gintoki-sakata,cmd:1+2,6,0.6775171216957452,1.2319687625894822,0.9210463361400628,1.1667764352862302,0.75,0.95,0.46026616226878303
gintoki-sakata,cmd:1+3,7,0.7874858984689768,1.6009991941982273,0.9554700525843272,1.1538540464281133,0.75,0.86538,0.5721435629470497
gintoki-sakata,cmd:1+4,5,0.6887960436562074,1.1294281491587086,0.7610575543010237,1.4336726150607597,0.75,1.15299,0.8218899888670352
gintoki-sakata,crouchBlock,8,0.7583672828715959,1.4175543489893623,0.7718640526089361,1.3559400159793498,0.75,1.27333,0.8681376253729671
gintoki-sakata,getupStand,8,0.5510939536850159,1.77995601032801,0.4623618101496736,1.119480647926328,0.75,1.33497,1.2980967960471324
